German	जर्मन
stumble	हिंड्ने
1228	जंगबहादुर
daggers	तरबार
Investigative	रिपोर्टिङ
uncial	अङ्ग्रेजीमा
taoism	मुन्धुम
garo	राजवंशी र
depriving	पुर्‍याएर
Godoy	मेसी
≈	अर्थात् १
Prek	प्राथमिक स्वास्थ्यकेन्द
rebadged	भर्सनको
transcend	हामीमा
psychosocial	मनोसामाजिक
eid	इद
leveraging	पहुँचलाई
tailings	बालुवा
hime	पूजाले
Posthumous	स्व
Truex	चेन्ज
escalate	तनावको
stun	लाठी
obedient	आज्ञाकारी
sharpened	तीखो
Attackers	आक्रमणकारीले
spirals	रेखामा
iwa	पालको
VARIANT	लट
D3	बीको
withstood	धक्का
pairings	जनाबीच
Pim	कमलसिंह
astm	गुणस्तर तथा नापतौल
pauses	बीचबीचमा
retrial	अदालतमा
telethon	सहयोगार्थ
mourned	निधनको
caligula	दीपेन्द्रको
CFO	नेप्सेका
picnics	पिकनिक
akiko	उनले भनेकी थिइन्
Skate	गराए
Holdsworth	युकेले
clapping	नाच्न
Authorization	मन्त्रिपरिषद्बाट
revista	एएनए
motels	लज
inhumane	अमानवीय
hippies	जोडीहरु
maynooth	मङपु
recap	सेसनमा
Iota	हुनेहरुलाई
Mckeown	युनाईटेड
interrelated	अन्तरसम्बन्धित
cardiologist	फिजिसियन
hyena	ब्वाँसो
demotion	घटुवा
tubers	डाँठ
seafloor	सतहको
slurry	पाइपको
sluggish	सुस्त
tpb	आगे
detritus	झारपात
ruskin	धवल
Amélie	पादुकोण
Mitra	गौतम र
upfront	एनसेलबाट
verifying	रुजु
shanty	झुपडी
lawfully	कानुनतः
absurdity	यथार्थको
bidders	टेण्डरमा
allegany	काभ्रेपलाञ्चोक
kaleidoscope	रंगिन
Beckley	बसुन्धरा
weald	भद्रकाली
pravda	अखबारले
mucous	सुन्निने
elgar	नारायणगोपाल
Appointed	र सहकोषाध्यक्षमा
inconvenience	सास्ती
monarchies	राजतन्त्रात्मक
torturing	पक्रेर
Fryer	बजगाई
Elmhurst	लाजिम्पाट
catalyze	परिपूर्ति
traumatized	विक्षिप्त
incriminating	अभियुक्तको
supercars	च्यारिटी
compost	कम्पोष्ट
TRS	ओएस
incognito	जोगी
pepsico	कोकाकोला
Hirschmann	दुराचारकाे
stunted	पलाउने
Bottles	बोतलमा
1187	वि सं
raritan	त्रिशूली
maidenhead	रघुगंगा
Vikas	भैरहवास्थित
convening	र सहमतिका
Terminals	टर्मिनल
dic	गो
Tonya	एलिजा
BBA	कमर्श
ashfield	तनहुँको
Alana	सलिना
kigali	कोलम्बोमा
gad	तुम्बाहाम्फे
Sly	मुखिया र
wicketkeeper	ब्याट्सम्यान
secures	खोलि
hannes	सापकोटाको
oren	रञ्जित
eustace	बहादुरले
Borgia	उनैको
entanglement	जाल
salm	ठाउंमा
mephisto	दुर
codification	मस्यौदा
maître	काठमाडौंमा पनि
soundscan	युट्युबको
SHOWTIME	जज
Framingham	बाह्रबिसे
shone	झलमल्ल
ransacked	भागेका
rained	झरिरहेको
Em	वाह
Breuer	फुँयाल
COVER	हेर्नुस् त
rubbed	कपडाले
Hillier	एलबी
prophesied	जन्मको
lire	पाउण्डमा
Bayside	हेटौडा
shameful	तुच्छ
gc	एसले
comité	पूर्वाञ्चलमा
Coy	रन्जन
Hocking	नवलपरासी र
thoroughfares	राजमार्गसँग
Richey	केरी
landless	भूमिहीन
wabc	एबीसी
airlifted	घाइतेहरुलाई
huron	जुम्लाको
FOUNDATION	फाउण्डेशनको
nowe	पाणिनी
Majestic	स्वच्छन्द
reforestation	वृक्षरोपण
responsiveness	पनि मद्दत
minigames	प्रोग्राम
rickshaw	रिक्सा
DEL	विजयकुमार
masato	अमृतले
extractive	उपयोगका
constipation	कब्जियत
storehouse	भण्डार
Dio	राणालाई
substandard	गुणस्तरहीन
baronies	उपरान्त
discouraging	निरुत्साहित
todo	पनि’
apportioned	बाँडफाँड
Musharraf	नवाज
verifiable	प्रामाणिक
SEATTLE	महामन्त्रीका
EA	→
conch	थाल
predefined	पनि निश्चित
substantiated	पनि पुष्टि
Larue	शिब
rationalism	भौतिकवादी
1153	१९५८
pardons	क्षमादान
Brandywine	महांकाल
Concept	कन्सेप्ट
Holger	श्रेष्ठसँग
phonetically	भाषामा पनि
crazed	बुढो
impartiality	निष्पक्षता र
sneaking	पस्न
instill	जगाउन
puzzled	तर अचम्म
Aamir	सलमान खानले
resourceful	मेहनती
inflamed	दुख्छ
thefts	चोरीका
yuka	सरस्वतीले
saheb	कुर्मीले
devizes	खलङ्गा
absences	अनुपस्थित
standardisation	एकरुपता
Deo	जय जय नेपाल
toddlers	बच्चाहरुले
wheelers	पाङ्ग्रे
Udinese	युभेन्ट्सले
rebuttal	टिप्पणीको
kiyoshi	लामाले भने
impassioned	भावुक
pairc	गरियाको थ्यो
tenacity	इमान्दारी
germinate	बिरुवालाई
Yuko	राखिन्
Haverhill	सूर्यविनायक
bettered	यो कीर्तिमान
superpower	महाशक्ति
lamiinae	अरूद्वारा भएको छ
disillusionment	निराशा
mestizo	नेवार समुदायका
Ringwood	भिमाद
supplementing	जोहो गर्ने
handkerchief	रुमाल
burwood	र चितवनको
born in	जन्मिएका
the final	पनि अन्तिम
to make	गर्नु पनि
two years	दुई वर्ष
school and	स्कुल
a local	एउटा स्थानीय
years old	वर्ष पुरानो
the council	कार्यसमितिले
and all	र सबै
and there	र त्यहाँ पनि
the Chinese	चिनियाँ
Km ²	धासा
the election	निर्वाचनमा पनि
life and	जीवन र
many years	धेरै वर्ष
km north	किलोमीटर
education and	शिक्षा र
and only	र मात्र
and political	र राजनीतिक
and politician	र वरिष्ठ नेता
and new	र नयाँ
years and	वर्ष र
but this	तर पनि यो
or other	वा अन्य
long and	र लामो
and international	र अन्तर्राष्ट्रिय
land and	जग्गा र
few years	पनि केही वर्ष
law and	कानुन र
families and	परिवारहरुलाई
art and	कला
wrote that	लेखे पनि
one day	एक दिन पनि
other than	भन्दा अन्य
and local	र स्थानीय
the success	पनि सफलता
and cultural	सांस्कृतिक
the cost	लागत
the independent	पनि स्वतन्त्र
women and	महिला
students and	विद्यार्थीहरू
work and	र काम पनि
six months	तीन महिना
but she	तर पनि उनी
English and	अंग्रेजी
six years	तीन वर्ष
culture and	संस्कृति
and remained	रहे र
the conference	भेलाको
after this	पछि यो
and often	पनि प्रायः
business and	व्यवसाय र
political party	राजनीतिक पार्टी र
during their	बेला आफ्नो
party and	पार्टी र
the plan	खाका
but were	पनि थिए तर
the importance	महत्वलाई
the global	विश्वव्यापी
but there	तर त्यहाँ पनि
the report	प्रतिवेदन
the influence	पनि प्रभाव
new year	नयाँ वर्ष
10 years	१० वर्ष
two months	दुई महिना
after their	पछि आफ्नो
training and	तालिम
man and	मान्छे र
lawyer and	र अधिवक्ता
and 10	र १०
entering the	पनि प्रवेश
the economy	अर्थतन्त्र
this day	यो दिन
that day	त्यो दिन पनि
services and	सेवा र
after two	पछि दुई
and military	र सेनाको
and private	र निजी
and member	सदस्य र
but after	तर पछि
and gave	दिएकोमा
this new	यो नयाँ
love and	पनि माया
the context	सन्दर्भमा पनि
evidence that	प्रमाणको
the rule	शासन
confirmed that	पुष्टी
information and	पनि सूचना
than any	भन्दा कुनै
this work	पनि यो काम
a boy	केटो
and Michael	पंकज
and use	प्रयोग र
films and	चलचित्रहरु
the cabinet	क्याबिनेट
their new	आफ्नो नयाँ
all but	तर सबै
the phrase	शब्दको
my life	मेरो जीवन
and professor	प्राध्यापक र
trade and	व्यापार र
and placed	राखिएको र
businessman and	व्यापारी र
and religious	पनि धार्मिक
this book	यो पुस्तक
million years	वर्ष १ करोड
the agreement	सम्झौताको
we can	हुन्छ भने हामी
one can	हुन्छ र एक
discovered that	पनि भेटिएको
this article	यो लेखमा
Jesus Christ	येशू
politics and	राजनीति र
fire and	आगो र
police and	प्रहरी र
peace and	शान्ति र
and construction	निर्माण र
writing and	लेखन
and environmental	र वातावरणीय
and academic	र प्राज्ञिक
important role	पनि महत्वपूर्ण भूमिका
body and	शरीर पनि
crossing the	आवतजावत
artists and	कलाकारहरू
and Richard	दिपेश
the Muslim	मुस्लिम
the Syrian	सिरियाका
and foreign	र विदेशी
and brought	ल्याइएको र
and security	सुरक्षा र
to introduce	बनाउनु नै
the protagonist	पात्र पनि
every day	पनि हरेक दिन
to sing	गाउनु
belief that	अन्धविश्वास
the successful	पनि सफल
not necessarily	पनि हुँदैन
and technical	पनि प्राविधिक
equipment and	उपकरण
and further	पनि थप
other things	अन्य कुरा
space and	स्पेस
reports that	पनि समाचारमा
million people	करोड मानिस
a fixed	फिक्स्ड
and regional	र क्षेत्रीय
a wooden	काठको
money and	र पैसा पनि
international airport	अन्तर्राष्ट्रिय विमानस्थल
matches and	खेल पनि
the journey	यात्रा
a National	एउटा राष्ट्रिय
but one	तर एक
and personal	पनि व्यक्तिगत
the minimum	न्यूनतम
and gas	ग्यास
President and	राष्ट्रपति र
doctorate in	विश्वविद्यालयबाट
knowledge and	ज्ञान पनि
their final	आफ्नो अन्तिम
the gospel	सुसमाचार
is placed	राखिएको हो
this project	यो परियोजना
companies and	कम्पनीहरू
10 million	करोड १० लाख
affairs and	मामिला र
the message	सन्देश पनि
owned the	स्वामित्वमा
religion and	धर्म
than 50	६० भन्दा बढी
mathematics and	गणित
and rescue	उद्धार र
the underground	जमिनमुनि
this system	यो प्रणाली
bringing the	पुर्याउन
the troops	फौज
hosted a	एउटा कार्यक्रममा
but their	तर पनि आफ्नो
in comparison	तुलनात्मक
one night	एक रात
parents and	छोराछोरी र
the dissolution	विघटन
the owners	सञ्चालकले
can use	पनि प्रयोग हुन्छ
to eat	खानु
commemorate the	मनाइरहँदा
the Palestinian	प्यालेस्टिनी
the popularity	लोकप्रियता
is presented	प्रस्तुत गरिएको हो
best film	उत्कृष्ट फिल्म
years until	वर्ष देखि
physician and	चिकित्सक
the Iraqi	इराकी
this one	यो पनि एक
and legal	र कानूनी
her new	उनी नयाँ
and Indian	र भारतीय
youth and	र युवा
homes and	घरहरु
skills and	सीप
characters and	पात्रहरु
materials and	सामग्री र
social security	र सामाजिक सुरक्षा
police department	मन्त्रालय र प्रहरी
the Tower	टावर
and 50	र ६०
14 years	१६ वर्ष
and digital	डिजिटल
after only	पछि मात्र
how many	पनि धेरै कुरा
construction began	निर्माण सुरु
two hours	दुई घन्टा
engineer and	इन्जिनियर
drinking water	पिउने पानी
analysis and	र विश्लेषण
weapons and	हतियार
problems and	समस्या र
owner and	सञ्चालक र
10 June	१० गते
all their	आफ्नो सबै
nuclear weapons	न्युक्लियर
and literary	साहित्यिक
can make	गर्नु हुन्छ
this building	यो भवन
began writing	लेख्न सुरु
scholar and	विद्वान्
the formal	पनि औपचारिक
study and	अध्ययन
goods and	सामान
the goddess	हनुमानको
and recording	रेकर्डिङ
titled the	‘ यो
and administrative	र प्रशासनिक
teachers and	शिक्षकहरु
than their	भन्दा पनि आफ्नो
entertainment and	मनोरञ्जनको
she gave	दिएपछि उनी
is sent	पठाएको हो
and wildlife	वन्यजन्तु
but due	नगर्दा पनि
very successful	निकै सफल
have seen	देख्नुभएको
and marketing	मार्केटिङ
14 June	१६ गते
activist and	अधिकारकर्मी र
very important	पनि निकै महत्वपूर्ण
than 10	१० भन्दा बढी
like this	जस्तो यो
tonnes of	सय टन
work together	मिलेर काम
and heavy	पनि भारी
the inclusion	पनि समावेश
the resistance	प्रतिरोध
experience and	अनुभव र
leadership and	नेतृत्व र
the rail	रेल
so long	तर लामो
soldier and	सिपाही
and philanthropist	र समाजसेवी
extra time	पटकमा
Johnson and	ज्याक
car accident	कार दुर्घटना
to arrive	आइपुग्नु
real name	वास्तविक नाम
a lengthy	लामै
months and	महिना र
their only	मात्र आफ्नो
long history	लामो इतिहास
the Tokyo	टोकियो
and my	म र मेरो
and electronic	इलेक्ट्रोनिक
10 may	जुन १०
change and	परिवर्तन र
beauty and	सौन्दर्य
new songs	नयाँ गीत
area school	विद्यालय क्षेत्र
are placed	राखेका हुन्छन्
language film	भाषाको चलचित्र
the virus	भाइरस
Communist party	कम्युनिष्ट पार्टी
work that	त्यो काम पनि
selsoviet of	जिल्लायागु
35 years	४० वर्ष
and goes	आयो अनि
playing game	गेम
the emergency	आपतकालीन
Bar Association	नेपाल बार एसोसिएसनले
million dollars	करोड डलर
in 1815	शमशेरको
and every	र हरेक
only available	मात्र उपलब्ध
and Daniel	र सुनिल
my love	मेरो माया
new Delhi	भारतको नयाँ दिल्ली
newspapers and	पत्रिकाहरु
policies and	नीतिहरू
the powerful	पनि शक्तिशाली
identity and	पहिचान र
and Edward	र नारायण
he placed	राखिएको उनले
airport and	विमानस्थल र
private school	निजी विद्यालय
15 minutes	१६ मिनेट
location and	ठाउँ र
Indian film	भारतीय फिल्म
successful and	र सफल पनि
new company	नयाँ कम्पनी
commenced in	सुरु
and tried	लगाइरहेका
also hosted	कार्यक्रममा पनि
employees and	र कर्मचारीहरु
concerts in	कन्सर्ट
sent the	पठाएका
health services	स्वास्थ्य सेवा
the conservation	संरक्षणका
the abolition	उन्मुलन
the villagers	बासिन्दाहरु
vehicles and	सवारीसाधन
were so	त थिए नै
presidential candidate	राष्ट्रपतिको उम्मेदवार
30 may	जुन ३०
fans and	दर्शकहरु
active member	सक्रिय सदस्य
and trained	तालिमप्राप्त
and nearly	र झण्डै
in Madrid	बार्सिलोना
the referee	रेफ्री
here and	पनि यहाँ
their main	आफ्नो मुख्य
Director and	निर्देशक
tools and	औजार
removing the	हटाउन पनि
reviews and	प्रतिक्रियाहरु
the Malaysian	मलेसियन
the deceased	मृतक
India company	भारतीय कम्पनी
the filming	सुटिङ
mind and	मनलाई
blood and	पनि रगत
Minister and	प्रधानमन्त्री र मन्त्री
to invest	लगानी गर्नु
sent him	पठाए पनि
humans and	मानिस पनि
his funeral	अन्त्येष्टि
but many	तर धेरै
that every	तर हरेक
all this	यो सबै
land that	त्यो जग्गा
this information	यो सूचना
and diplomat	कुटनीतिज्ञ
votes and	मत र
this the	पनि यो
and agricultural	कृषि
one member	एक सदस्य
content and	विषयवस्तु र
eyes and	अनुहार र
every time	हरेक समय
new life	नयाँ जीवन
citizens and	नागरिकहरूलाई
and improve	सुधार गर्ने र
the Taliban	तालिबान
the statute	ऐनको
two women	दुई महिला
are presented	प्रस्तुत हुन्छन्
two matches	पनि दुई खेल
Elvis Presley	फ्यानलाई
commission and	मन्त्रालयमा पनि
and commander	कमाण्डर
Hillary Clinton	हिलारी
she first	उनी पहिलो
bus services	बस सेवा
still alive	पनि जीवित
pilot and	पाइलट र
very long	निकै लामो
other important	अन्य महत्वपूर्ण
the availability	उपलब्धता
and sexual	पनि यौन
Parliament and	सांसद र
comprising the	र त्यसमध्ये
to appoint	नियुक्त गर्नु
the Indonesian	इन्डोनेसियाली
underneath the	छेउमा
the extensive	पनि व्यापक
restaurants and	रेस्टुरेन्ट
Winston Churchill	कार्टर
and Dave	मनिष
and dry	सुख्खा
and secretary	सचिव र
and hosted	र कार्यक्रममा
plans and	योजना र
and Scott	रविन
use this	यो प्रयोग
or were	छन् वा
defense and	प्रतिरक्षा
that women	तर महिला
Pope Benedict	कोईरालाको
killed the	मारिएको
and Kevin	र राजेश
the facts	तथ्य पनि
health insurance	स्वास्थ्य बीमा
camp and	क्याम्पमा
this school	यो विद्यालय
there she	उनी त्यहाँ
writing that	पनि लेख्न
and mental	पनि मानसिक
military forces	सेना
worldwide and	विश्वभर
infrastructure and	पूर्वाधारहरुको
Advisory Committee	मन्त्रिपरिषद्मा
the response	प्रतिक्रियालाई
party member	पार्टी सदस्य
determining the	पनि निर्धारण
and storage	भण्डारण
levels and	स्तर पनि
many new	धेरै नयाँ
this country	यो देश
against her	उनी विरुद्ध
manufacturing and	उत्पादन र
role and	भूमिका पनि
the credit	क्रेडिट
elected the	निर्वाचित
to victory	जितको
the habitat	बासस्थान
the outstanding	उत्कृष्ट
heat and	ताप
football championship	फुटबल खेलमा
shop and	पसल
years that	त्यो वर्ष
structures and	संरचना र
this location	यो ठाउँ
the hidden	लुकेको
our own	हाम्रो आफ्नो
cargo ship	जहाजले
in Dubai	दुबई र
the monarchy	राजतन्त्रको
poverty and	गरिबीको
consecutive years	वर्ष लगातार
my name	मेरो नाम पनि
some scholars	विद्वानहरूले
the swiss	स्विस
and soul	आत्मा र
and Arthur	राम र
everyday life	दैनिकी
approximately 10	करिब १०
law that	पनि कानुन
and particularly	र खासगरी
or small	वा सानो
or all	वा सबै
showing that	देखाउन पनि
new contract	नयाँ सम्झौता
very strong	निकै बलियो
health problems	स्वास्थ्य समस्या
faculty and	विश्वविद्यालयमा
elections and	र निर्वाचन
from There	आइ
is closed	बन्द गरिएको हो
and Sam	मुकेश
after many	धेरै पछि
and reported	जनाएअनुसार
conversation with	कुराकानी र
damage and	पनि क्षति
addressed the	उठाएका
own name	पनि आफ्नो नाम
two distinct	दुई भिन्न
courses and	कक्षाहरु
and afterwards	र पछि पनि
this award	यो अवार्ड
the page	पृष्ठमा
the Naval	मिलिटरी
the candidates	उम्मेद्वारले
models and	मोडलको
the Board	बोर्डलाई
international film	अन्तर्राष्ट्रिय फिल्म
two minutes	दुई मिनेट
the Complex	कम्प्लेक्स
second marriage	दोस्रो बिहे
and giving	दिने र
own and	आफ्नो र आफ्नो
the Statue	सालिक
and active	र सक्रिय
only time	समय मात्र
land use	जग्गा प्रयोग
weight and	तौल
his local	उनी स्थानीय
interview that	अन्तर्वार्तामा
growth rate	वृद्धि दर
until their	देखि आफ्नो
in Kingston	उपमहानगरपालिका–
the prevention	रोकथाम र
that God	सृष्टिकर्ता
inside and	भित्र र
wealth and	सम्पत्ति पनि
military police	प्रहरी र सेनाको
school education	विद्यालय शिक्षा
the recommendation	पनि सिफारिस
the Current	१६औं
the cardinal	सुशीलको
the euro	युरो
photographer and	फोटोग्राफर
advice and	सल्लाह र
history is	इतिहास हो
girl and	र केटी
the validity	वैधानिकता
the 100th	औँ
farming and	पशुपालन
a reasonable	मनासिव
paper and	कागज र
own life	आफ्नो जीवन
mayor and	मेयर
the Buddhist	बौद्ध
the seats	सिट
and reduced	घटाएर
meetings and	बैठकहरुमा
health organization	स्वास्थ्य संगठनको
too long	धेरै लामो
placing the	राखिदिने
criminal law	र फौजदारी
not accept	स्वीकार्नु
the database	अभिलेख
attacks and	आक्रमण र
Nations Security	संयुक्त राष्ट्रसंघ सुरक्षा
the Commission	आयोगलाई
this record	यो रेकर्ड
the revised	संशोधित
management system	व्यवस्थापन प्रणाली
two million	करोड दुई लाख
safe and	र सुरक्षित
and sought	लागिपरेका
few other	अन्य केही
pressure and	प्रेसर
corruption and	भ्रष्टाचार र
documents and	कागजात र
to arrange	मिलाउनु
against women	महिला विरुद्ध हुने
testing and	परीक्षण र
placed a	राखिदिए
the monthly	त्रैमासिक
entrepreneur and	उद्यमी र
film awards	फिल्म अवार्ड
years or	वर्ष वा
very active	निकै सक्रिय
were actually	थिए तर त्यो
first innings	रन
the debt	ऋणको
birth and	जन्म र
and awarded	पुरस्कार
their land	आफ्नो जग्गा
daily life	दैनिक जीवन
poems and	कविताहरू
unemployment rate	बेरोजगारी दर
the petition	आदेशको
the Thomas	नरबहादुर
the logo	लोगो
principles and	सिद्धान्त र
long enough	त्यति लामो
but two	तर दुई
this context	सन्दर्भमा यो
the transportation	र यातायात
private secretary	निजी सचिव
and increasing	पनि बढ्दो
the artwork	चित्र
tanks and	ट्याङ्की
record that	रेकर्ड पनि
awareness and	र जनचेतना
my father	मेरो बुबा
new record	नयाँ रेकर्ड
is removed	हटाइएको हो
and helps	खेल्छ
strategy and	रणनीति र
heritage and	सम्पदा
and intellectual	बौद्धिक
of organic	प्रांगारिक
any person	कुनै पनि व्यक्ति
and approximately	करिब करिब
skin and	छालाको
and Jason	प्रवीण
Frederick William	महेन्द्र बहादुर
traffic and	आवागमन
be prepared	पनि तयार
local time	स्थानीय समय
various locations	विभिन्न ठाउँ
networks and	नेटवर्क र
and elected	निर्वाचित र
politicians and	नेताहरू पनि
or some	वा धेरै
and influential	र प्रभावशाली
hospitals and	अस्पतालहरु
the Memorial	स्मृति
all land	सबै जग्गा
alcohol and	मद्यपान
military training	सैन्य तालिम
three songs	एक गीत
revolution and	क्रान्ति र
the volcano	ज्वालामुखी
social networking	र सामाजिक सञ्जालको
their local	आफ्नो स्थानीय
year history	वर्षको इतिहास
Liberation Army	जनमुक्ति सेना र
who knew	चिनेका
police service	प्रहरी सेवा
and practical	र व्यावहारिक
gets the	बित्तिकै
and fashion	फेसन
remained active	सक्रिय रहे
and receive	पाउनु र
in heaven	स्वर्ग
and moral	नैतिकता र
the empty	रित्तो
the governments	सरकारहरू
local police	स्थानीय प्रहरी
and external	र बाहिरी
graphics and	ग्राफिक्स
photography and	फोटोग्राफी
a bottle	गिलास
other women	महिला र अन्य
processes and	प्रक्रियाहरू
selected the	छानिएका
many local	धेरै स्थानीय
every four	हरेक तीन
person or	पनि व्यक्ति वा
large quantities	परिमाणमा
resolve the	र समाधानको
the Monument	स्मारक
the stern	धारमा
many small	धेरै सानो
and like	र जस्तो
and maintaining	राख्न र
this land	यो जग्गा
seating capacity	प्यारापिट
new buildings	नयाँ भवन
new party	नयाँ पार्टी
the predominant	मुख्यतः
education programs	शिक्षा कार्यक्रम
this week	यो हप्ता
my head	मेरो टाउको
the strange	अनायासै
and implementation	कार्यान्वयन र
one study	एक अध्ययन
two young	दुई युवा
23 years	२३ वर्ष
the guests	पाहुनाहरु
this study	यो अध्ययन
National Wildlife	राष्ट्रिय निकुञ्ज र
so we	त हामी पनि
new location	नयाँ ठाउँ
and recreational	मनोरञ्जनका
sponsored the	प्रायोजनमा
only person	व्यक्ति मात्र
the villain	खलनायक
all new	सबै नयाँ
investigation and	छानबिन र
bed and	बेडमा
risen to	झरेको
this election	यो निर्वाचनमा
in Havana	वाशिङटन
sexual harassment	यौन दुव्र्यवहार
medals and	पदक
this district	यो जिल्लाको
facility and	सेन्टर र
international competitions	अन्तर्राष्ट्रिय प्रतियोगिता
and Susan	संगीता
audience and	पनि दर्शक
reflected the	प्रतिविम्बित
crops and	गहुँ
problems that	त्यो समस्या
and assisted	सघाइरहेका
the structures	संरचना पनि
after meeting	बैठक पछि
human trafficking	मानव बेचबिखन र
talent and	प्रतिभा र
beautiful and	सुन्दर
four decades	चार दशक
here that	तर यहाँ
testified that	बयानमा
devices and	डिभाइस
website that	वेबसाइटमा
the characteristic	एकप्रकारको
commit suicide	पनि आत्महत्या
confronted by	आत्तिएका
notion that	भन्ने कुरामा पनि
this road	यो बाटो
construction company	निर्माण कम्पनी
all day	दिन सबै
there can	हुन्छ त्यहाँ
money laundering	हुण्डी
party that	त्यो पार्टी
development committee	विकास मन्त्रालयमा
international development	अन्तर्राष्ट्रिय विकास
family homes	घर परिवार र
asks him	रिसाउँदै
districts and	नगरपालिकाहरु
services that	पनि यो सेवा
the perceived	चरित्रको
and Samuel	र रमेश
and adding	थपेर
and Jonathan	रवीन
active role	सक्रिय भूमिका
the Master	मास्टर
Motion Picture	पिक्चर
personal life	व्यक्तिगत जीवन
how long	कति लामो
his study	आफ्नो अध्ययन
and strategic	र रणनीतिक
a luxury	लक्जरी
also presented	पनि प्रस्तुत
information system	सूचना प्रणाली
the advertising	विज्ञापनको
the farmers	किसानले
hosted in	आयोजित कार्यक्रममा
the literacy	साक्षरता
new technology	नयाँ प्रविधि
six other	अन्य तीन
police forces	सेना र प्रहरी
partners and	पार्टनर
the ICC	आइसिसी
business is	व्यवसाय हो
affiliation with	आबद्धता
but other	तर अन्य
meat and	मासु
and psychological	र मनोवैज्ञानिक
this law	यो कानुन
lectures and	प्रवचन
school children	बालबालिका विद्यालय
39 years	२ वर्ष
were active	सक्रिय थिए
after coming	पछि आउने
themes and	कथाहरूमा
12 hours	१२ घन्टा
the employer	रोजगारदाता
and Electronics	इलेक्ट्रोनिक्स
and alternative	र वैकल्पिक
furniture and	फर्निचर
and traditions	संस्कृतिका
this company	यो कम्पनी
in Jakarta	जकार्ता
is prepared	तयार भएको हो
best male	उत्कृष्ट पुरुष
new technologies	नयाँ प्रविधिको
and twice	पटक र
league matches	म्याचमा
history that	इतिहास पनि
and total	र ९०
centers and	केन्द्रहरू
fear that	डर पनि
and indeed	र त्यो पनि
buses and	बसहरु
and regular	र नियमित
filled the	भरिएको
two seats	दुई सिट
their role	आफ्नो भूमिका
family member	परिवारको सदस्य
Hamilton and	कञ्चनपुरले
to inspire	जगाउनु
progress and	प्रगति र
27 years	२२ वर्ष
milk and	दूध
decades later	दशक
development company	विकास कम्पनी
can change	परिवर्तन हुन्छ
the applicant	प्रमाणपत्रको
this airport	यो विमानस्थल
human life	मानव जीवन
fraud and	ठगी र
than 15	१५ भन्दा बढी
Nelson Mandela	मण्डेलाको
the Overall	दोस्रोले
scenes and	दृश्य र
only member	सदस्य मात्र
aid and	सहायता र
taxes and	र कर
accident and	दुर्घटना र
and Larry	र सुमन
and cooperation	र सहकार्यका
and extensive	र व्यापक
India is	भारत हो
educational programs	शैक्षिक कार्यक्रम
the automobile	मोटर
a mirror	ऐना
monitoring and	निगरानी र
Vladimir Putin	भ्लादिमिर
every week	हरेक हप्ता
partnerships with	साझेदारी र
National Road	राष्ट्रिय राजमार्ग
the depot	बसपार्क
the umbrella	छाता
new bridge	नयाँ पुल
village development	गाउँ विकास
books that	त्यो पुस्तक
formal education	औपचारिक शिक्षा
National Party	पार्टी र राष्ट्रिय
open letter	खुल्ला पत्र
is equal	बराबर हो
the hub	हब
fear and	डर र
48 hours	४८ घण्टा
Adams and	मार्टिन
courage and	साहस र
doctors and	डाक्टरहरु
gender equality	र लैङ्गिक
rain and	झरी
than six	भन्दा तीन
technical education	र प्राविधिक शिक्षा
this tournament	यो प्रतियोगिताको
the Newport	प्यूठानको
years she	वर्ष उनी
received entry	प्रवेश पाएको
alone and	पनि एक्लै
watched the	हेरिरहेका
extensive use	व्यापक प्रयोग
questions and	प्रश्न र
some authors	लेखकहरुले
afterwards he	पछि उनी
pieces and	टुक्राहरु
brain and	मस्तिष्क
the flame	आगोको
Arabic and	अरबी
the rulers	राजाहरूले
international football	अन्तर्राष्ट्रिय फुटबल
international conference	अन्तर्राष्ट्रिय सम्मेलन
hopes that	आशा पनि
the researchers	अनुसन्धानकर्ताहरूले
the sitting	कुर्सीमा
British Prime	बेलायती प्रधानमन्त्री
33 years	३२ वर्ष
the rainy	हिउँद
feud with	दुस्मनी
the deepest	गहिरो
Margaret Thatcher	थेरेसा
popularity and	लोकप्रियता र
various countries	विभिन्न देशहरुमा
and carry	बोक्नु
their journey	आफ्नो यात्रा
report and	प्रतिवेदन र
the Legislative	समानुपातिकतर्फका
the mongol	राजवंश
their long	आफ्नो लामो
the ear	कान
a robot	रोबोट
new edition	नयाँ संस्करण
worker and	श्रमिक र
of genetic	आनुवंशिक
book award	पुस्तक पुरस्कार
urban planning	शहरी
Returns to	नभेटेपछि
my mother	मेरो आमा
emergency services	आकस्मिक सेवा
musical theatre	थिएटरमा
the Big	नामी
the nationwide	देशव्यापी
were received	पनि पाएका थिए
American military	र अमेरिकी सेनाको
vowed to	लागिपर्ने
life that	जीवन पनि
diversity and	विविधता
is taking	लाने हो
customer service	ग्राहक सेवा
and Eddie	रोसन
character as	भूमिकामा
box and	बक्स
citizenship and	नागरिकता र
Jawaharlal Nehru	नेहरू
consulting firm	परामर्शदाता कम्पनी
football tournament	फुटबल प्रतियोगिताको
literary award	साहित्य पुरस्कार
then turns	मोडियो
the WWE	लक्की
only 10	मात्र १०
fun and	र रमाइलो
water or	पानी वा
vehicle and	गाडी र
talent show	ट्यालेन्ट
that new	त्यो नयाँ
web browser	ब्राउजर
users and	प्रयोगकर्ताहरूले
are active	सक्रिय हुन्छन्
