eight	අට
Nightclub	ක්ලබ්
kam	බෑ”
concentric	වෘත්තාකාර
alarmed	කලබලයට
rocking	පැද්දෙන
projector	තිරයක්
burglary	සොරකම
Rosalind	පද්මිණී
weary	තනිකමට
feats	හපන්කම්
malnutrition	මන්දපෝෂණය
swollen	ඉදිමිලා
Paleolithic	මානවයා
elegance	අලංකාරය
landslides	නායයාම්
Hopewell	බලංගොඩ
televisions	රූපවාහිනියක්
Kline	සැම්සන්
Hillsboro	අගලවත්ත
percentages	ප්‍රතිශතය
kidneys	අක්මාව
lego	ස්පයිඩර්
Guevara	ගුවේරා
slums	මුඩුක්කු
Stick	එකය
Marxism	මාක්ස්වාදය
mogadishu	සෝමාලියාවේ
Sharia	ෂරියා
Waverley	කඩුගන්නාව
awakened	අවදි
ensues	කද්දී
Mort	ගාමිණී දිසානායක මහතා
eyesight	පෙනීම
plated	ආලේපිත
BAY	දිස්‌ත්‍රික්‌කයට
Coulter	ටිම්
Mancha	‘මේ
chronicler	නොක්ස්
Tuttle	විල්සන්
vacancies	පුරප්පාඩු
vitality	ආධ්‍යාත්මය
oppressive	පීඩාකාරී
stéphane	වීරමන්
distraught	කම්පාවට
weakly	ස්ථායී
horsemen	සේනාවක්
macos	වින්ඩෝස්
protestors	විරෝධතාකරුවන්
Smithfield	මැනිං
nylon	නයිලෝන්
chairmen	සභාපතිවරුන්
wildfire	ලැව්
fermented	පානයක්
Univ	යළියොමුව
extremism	අන්තවාදය
Papa	ඒයි
Entrepreneurship	ව්‍යවසායකත්ව
worldly	ලෞකික
exposes	මතුවෙන
disgust	පිළිකුල
Armitage	ජොනතන්
jackpot	ඔට්ටුව
greatness	අභිමානය
scans	ස්කෑන්
indifferent	උදාසීන
chairwoman	සභාපතිනිය
disparity	පරතරය
uninterrupted	අඛණ්ඩව
creamy	ඉදුණු
mocked	උපහාසයට
fundamentalist	මූලධර්මවාදී
PAKISTAN	පකිස්‌තානය
dreamer	හිඳිමි
braille	බ්‍රේල්
kingship	රාජ්‍යත්වය
diversification	විවිධාංගීකරණය
Rouse	ප්‍රිශාන්ත
Horsham	කුරුණෑගල
thirst	බඩගින්න
hush	චූටි
slippery	ලිස්සන
hank	“එයා
nominating	නාමයෝජනා
precautions	ආරක්ෂාවක්
TRANSIT	බස්‌රථ
potentials	විභව
improperly	අයතා
charms	බැල්ම
Motors	සුසුකි
bitten	සපා
Hawkes	සෝමසිරි
ltte	එල්ටීටීඊ
retelling	කතාන්දරය
uphill	දුරක්
ay	පැතුමයි
hydroxide	පොටෑසියම්
Celine	අචිනි
aryan	ආර්යයන්
irrational	අතාර්කික
playgrounds	ක්‍රීඩාංගණයක්
lagoons	වගුරු
cavities	කුහර
geophysical	භූ
thrived	බිහිවී
unnatural	අස්වාභාවික
Tribeca	ප්ලාසා
uterus	ගර්භාෂය
peacock	මොණර
Blenheim	උඩරටට
chained	දම්වැල
Kickstarter	IMDB
stickers	ස්ටිකර්
refrigeration	ශීතකරණ
reappointed	ධුරයට
privatisation	පුද්ගලීකරණය
cognate	ව්‍යවහාර
Nic	ගෲප්
Féin	ටෙලෝ
multipurpose	බහුකාර්ය
kayaking	පිහිනීම
Frazer	වෝකර්
screws	ඉස්කුරුප්පු
auditing	විගණනය
pu	ය කියා ය
Barbie	මාධවගේ
AREA	ප්‍රදේශයක්‌
gypsum	හුණුගල්
Gaspar	ජුවන්
wary	ගැන විමසිල්ලෙන්
steered	මඟකට
confuse	හදුනාගන්න
kar	මුතුහෙට්ටිගම
ENGLISH	ඉංගී්‍රසි
skit	නාට්ටියක්
floodplain	ඉවුරු
drown	පාවෙනවා
conduction	චාලක
oxides	ඔක්සයිඩ්
sorcery	හූනියම්
Thunderbird	ෆීනික්ස්
Andaman	අන්දමන්
POLICE	පොලිස්‌
flaw	දුර්වලතාවයක්
eradicate	මර්දනය
showroom	ප්‍රදර්ශනාගාරය
Timeaxis	අංකයපණිවුඞයපණිවුඞයක
dynamical	චලිතය
slipping	ලිස්සා
Wilhelmina	කැතරින්
helpless	ඒ අසරණ
bodyguards	ආරක්ෂකයන්
lakshmi	පාර්වතී
finisher	වැනියා
processions	පූජාවන්
sacrificing	රැකගන්නා
slap	ගහනවා කියලා
grandma	නැන්දා
Pia	සුභාෂිණී
Odis	ටෙස්ට්
alluded	කියවෙන
Roddy	ඇෆ්
legalized	නීතිගත
pencils	පැන්සල්
cyanide	සයනයිඩ්
PROJECT	ව්‍යාපෘතියක්‌
cough	කැස්ස
enthusiastically	උනන්දුවෙන්
tamaulipas	මෙක්සිකෝවේ
glamorous	සුරූපී
veneration	වන්දනාමාන
intertwined	හා බැඳුණු
malice	ද්වේෂ
jharkhand	රාජස්ථාන්
Jojo	හැටී
robberies	කොල්ලකෑම්
Daddy	එහෙනං අපි
hackers	හැකර්
superimposed	රූපයේ
folder	ෆයිල්
fades	වියැකී
Fung	අබේනායක
Boogie	ශෝ
swallowed	ගිල
ambulances	තුවාලකරුවන්
Judson	විජේසිංහ
Only	විතරලු
Beckham	බෙකම්
Dowd	ලෝරන්ස්
TRAINING	පුහුණුවක්‌
soulful	ලයාන්විත
Fairview	වසමට
seaport	වරායන්
surpass	අභිබවා
Colgate	ඒෂියන්
civilized	ශිෂ්ට
easiest	පහසුම
metaphors	රූපක
transcendental	පටිච්ච
censuses	සංගණනය
Bachchan	ෂාරුක්
payable	මුදල් ගෙවිය
overgrown	කැලෑවෙන්
Aung	සාන්
Agostino	ජූඩ්
waned	පිරිහෙමින්
distrust	අවිශ්වාසය
starving	කුසගින්නේ
obese	තරබාරු
willingly	ඔවුන් තමන්
harmonious	සහජීවනයෙන්
malfunction	දෝෂයක් නිසා
kerosene	භූමිතෙල්
mangroves	කඩොලාන
hippie	සංකර
futile	නිරර්ථක
Gerber	විජේසුන්දර
Miley	සනී
goin	යමං
estuaries	කලපු
tossed	විසිකර
stirring	මුසු
intoxicated	බීමත්ව
carnage	දවාලේ
rubbish	මේ කුණු
windshield	වීදුරුව
amphitheater	එළිමහන්
Tape	ටේප්
Felton	ගනේගොඩ
brahmin	බ්‍රාහ්මණ
senna	පෙනුණි
methodological	න්‍යායික
dorm	නේවාසිකාගාරයේ
ashram	බුද්ධගයාව
destitute	අසරණ
craftsmanship	ශිල්පීය
apiece	බැගින්
cassettes	කැසට්
competency	පළපුරුද්ද
circuitry	පරිපථ
coercion	බලහත්කාරය
traversing	ගමන්කරන
vitamins	විටමින්
handwritten	ලියා
recitation	ගාථා
curfew	ඇඳිරි
dale	කුලසිංහ
respectful	සුහදශීලී
measurable	අගයක්
plunged	ප්‍රපාතයට
tumultuous	හැලහැප්පීම්
bracelet	මුද්දක්
Arlen	වසන්ත පෙරේරා මහතා
worsening	උත්සන්න
Wicklow	රත්තොට
overtook	හිමිකරගෙන
constitutionality	ශ්‍රේෂ්ඨාධිකරණය
Cleo	පුරුපුරු
Langston	විදානපතිරණ
Strips	තීරු
straps	පටි
uniqueness	අනන්‍ය
Yarra	දෙමටගොඩ
Scotsman	අයිලන්ඩ්
hammers	කැත්ත
turntable	ස්ටෑන්ඩ්
circumcision	සුන්නත්
joyful	ඒ මිහිරි
Marisa	මහේෂි
blooming	පිපෙන
epidemics	වසංගත
terrifying	බියකරු
Lab	රිසර්ච්
Finney	තිලකරත්න
Gee	ලේන්
opel	ටොයෝටා
Telecommunications	ටෙලිකොම්
Gillis	දයා
dysfunctional	අසහනකාරී
Cirque	ඇතුගල
router	IP
cheated	අමාරුවේ
Goulburn	කටුගස්තොට
virtuous	ගුණගරුක
Dara	කමල
laptops	ලැප්ටොප්
cannonball	බඹර
ich	” “
Hattie	ප්‍රේමා
debit	ඩෙබිට්
Lander	ආම්ස්ට්‍රෝං
aristocrats	පැලැන්තියේ
AUSTRALIA	ඔස්‌ටේ්‍රලියාව
imperialist	අධිරාජ්‍යවාදී
Debussy	වික්ටර් රත්නායකයන්ගේ
Self	හිතාය
upheaval	විපර්යාසයන්
Plainfield	හෝමාගම
fertilizers	කාබනික පොහොර
motherhood	මාතෘත්වය
enthroned	කරඬුව
GOVERNMENT	ආණ්‌ඩුව
Goss	ජස්ටින්
firewood	දර
paddock	නියර
refrigerator	ශීතකරණය
suicides	සියදිවි නසාගැනීම්
erase	මකලා
Juanita	කුමුදුනී
Cookbook	රයිස්
ingestion	ශරීරගත
imitating	අනුකරණය
puberty	වැඩිවියට
technologically	තාක්ෂණයෙන්
janitor	මුරකරු
GOALS	කඩුල්ලක්‌
Newberry	මයා
INCOME	ආදායමක්‌
homework	මම ඉස්කෝලේ
democratically	ප්‍රජාතන්ත්‍රවාදීව
gadgets	මේ ගැජට්
perceptual	සංවේදනය
thatched	වරිච්චි
kneeling	සිටගෙන
worthless	නොවටිනා
dehydration	විජලනය
insecurity	දරිද්‍රතාවය
shaggy	විසේ
centimetres	සෙන්ටිමීටර්
hinduism	හින්දු ආගම
venous	රුධිර
pimp	වනචර
animosity	වෛරයක්
knut	ගෝමරන්කඩවල
depressive	විශාදය
Brunner	අයිසැක්
conservationist	පරිසරවේදී
impartial	අපක්ෂපාතී
seedlings	පැළ
entangled	පැටලී
chr	නව අරහාදී
biopsy	පරීක්ෂාවක්
cheeks	කම්මුල
Mugabe	මුගාබේ
Beowulf	මනමේ
enormously	මේ තරමටම
Mckinnon	රඹුක්වැල්ල
furthering	කිරීම උදෙසා
extremists	අන්තවාදීන්
motorways	අධිවේගී මාර්ග
conveys	ගැබ්ව
insecure	කරදරකාරී
creepy	අමුතු අමුතු
maneuvering	හැසිරවීමට
mischievous	දඟකාර
Chevalier	විමලවීර
Harrell	ගුණතිලක
gusts	තද සුළං ද
revivals	නාඩගම්
Pentecost	පාස්කු
Kwok	කරුණාරත්න අබේසේකර
yogurt	යෝගට්
Redd	ස්වීට්
carbohydrates	මේදය
OLYMPIC	ඔලිම්පික්‌
lingering	පහව
mailed	තැපෑලෙන්
Hossain	නවාස්
epics	රාමායනය
waved	වටේටම
beware	ගොඩවෙන
homs	සිරියාවේ
cremation	ආදාහනය
mobilize	ඒකරාශි
priestess	දේවතාවා
pura	උදපාදි
Quartermaster	රෙජිමේන්තුවේ
repayment	පොලී
laborer	කම්කරුවකු
antidote	බෙහෙතක්
slid	උඩට
diabetic	දියවැඩියා
calories	කැලරි
carpentry	වඩු
wallet	පසුම්බිය
swung	පැත්තටම
semicircular	කවාකාර
Verdun	වඩමාරච්චි
tapering	පළලින්
subsumed	යටතට
Grenville	ලෙව්කේ
jigsaw	ඇණයක්
sayings	කියමන්
displeasure	අප්‍රසාදය
confiscation	රාජසන්තක
Fink	අර්නස්ට්
Selina	නිමේෂා
་	අරහතෝ සම්මා සම්බුද්ධස්ස
mio	නයන
Spock	සුමනදාස
quill	කොළය
desserts	කැවිලි
headmistress	විදුහල්පතිනිය
lipstick	මේකප්
fend	මෙල්ල
confidentiality	රහස්‍යභාවය
inconsistencies	පරස්පරතා
affectionate	ලෙන්ගතු
peek	තිවුන
driveway	වත්ත
demeanor	පෞරුෂයක්
HIGHWAY	කාපට්‌
Punch	බ්ලැක්
eh	අපි කාගෙත්
grandpa	මල්ලි මට
jacks	බෝර්ඩ්
tray	පිඟාන
Eustace	මද්දුම
Glenwood	ගිනිගත්හේන
Belcher	රත්නසිරි
toed	කබරයා
Abner	බණ්ඩා
symbolized	සංකේතවත්
Turf	ටොරින්ටන්
craze	උන්මාදයක්
behaved	හැසිරෙන
What	කව්ද මේ
closeness	සමීප
virginity	කන්‍යාභාවය
humankind	මනුෂ්‍යයා
poignant	දුක්බර
chores	අස්පස්
ethnicities	ජනවර්ග
pastel	සායම්
Bucky	ගුනේ
megawatts	මෙගාවොට්
Goodall	ඩෙස්මන්ඩ්
Nan	ජි
abandons	කරපින්නාගෙන
thermodynamic	අංශුවක
childcare	සුරැකුම්
Mister	පප්පා
Kaufmann	හාන්ස්
caribou	වලසුන්
Ervin	සමරවික්‍රම
begged	කතාකොට
TEMPLE	විහාරස්‌ථානය
Darnell	විජේරත්න
juggling	මැජික්
startling	විශ්මය
downloading	බාගත
hypocrisy	කුහක
honestly	අවංකව
≤	d
Musgrave	සෙනරත්
popmatters	අය්යෙ
Workman	නැසීගිය
liberator	විරුවා
gazette	ගැසට්
hypnosis	මෝහනය
slew	අසු
funniest	සුපිරිම
Rehabilitation	පුනරුත්ථාපන හා
appended	සඳහන්ව
arbitrarily	අභිමත
Southside	ගාල්ලෙ
rotting	දිරා
stains	පැල්ලම්
thi	කරනවා’
impulses	ආවේග
austere	අල්පේච්ඡ
Lewin	පූජිත
pituitary	ග්‍රන්ථිය
Northland	කඳුරට
pussy	නැට්ට
vehemently	විරුද්ධ
discharging	මුදාහැරීම
receptionist	සේවිකාවක්
MBE	රනාන්දු
SILVER	පදක්‌කම
exonerated	නිදොස්
brilliantly	අපූරුවට
ATTORNEY	මහෙස්‌ත්‍රාත්වරයා
draftsman	ශිල්පියෙක්
EDUCATION	අධ්‍යාපනයක්‌
Danbury	හොරණ
wifi	පහසුකම
centralised	මධ්‍යගත
pejorative	විශේෂණ
menstrual	ඔසප්
acidity	ආම්ලික
TEAMS	තරගාවලියක්‌
prerogative	විධායකයේ
alms	දානෙ
wikileaks	විකිලීක්ස්
postpone	එළැඹෙන
cheerleader	සීනා
wellbeing	යහපැවැත්ම
accountancy	ගණකාධිකරණ
loanwords	භාෂාවේ
safeguarding	සුරැකීම
schoolchildren	ළමුන්
pharmacies	ඔසුසල්
adrenal	තයිරොයිඩ්
perched	මුදුනේ
deflected	ඉවතට
velocities	ප්‍රවේගය
scandalous	නොහොබිනා
nozzle	බටය
Lumley	විමලධර්ම
relaxing	විවේකී
staring	දිහා
Hiro	රත්ගමයා
preeminent	කීර්තිමත්
cannibalism	මැරීම
utensils	පිඟන්
infield	පිට්ටනියට
Fight	පරදී
handicrafts	අත්කම්
girlfriends	පෙම්වතියන්
wiz	හානේ
artistry	ප්‍රතිභාව
typified	සැකසී
suspensions	චක්‍ර
Oshkosh	වැලිසර
headphones	ස්පීකර්
Marv	බුද්ධදාස
ish	කීමත්
Riverview	අකුරණ
sensual	ශෘංගාරය
Gaby	තරුෂි
psychologically	මානසිකව
redshirt	කණ්ඩායමෙන්
registrations	ලියාපදිංචි
cheque	රිසිට්
gilt	රනින්
cheering	ඔල්වරසන්
Munson	හෙක්ටර්
ov	දකුණත්
responders	ප්‍රථමාධාර
guardianship	භාරකාරත්වය
subtly	සියුම්ව
Carina	ප්‍රියංගිකා
Javed	ඛාන්
Grahame	මඩොල්
Loudoun	හේවාහැට
entitlement	හිමිකම
droughts	නියඟ
Tablet	ආෆ්ටර්
repressive	මර්දනකාරී
crucifix	කුරුසිය
mattress	ටෙන්ට්
silently	නොදැනුවත්වම
reimbursement	මුදල් ගෙවීම
caregivers	වැඩිහිටියන්
MOBILE	එටිසලාට්‌
rehabilitate	පුනරුත්ථාපනය
koh	වට්
Unlimited	විදුලොවින්
cowardly	නිවට
shakes	වැටිච්ච
Avondale	තලවාකැලේ
edema	සංකූලතා
crucible	ගිනියම්
ESTATE	ඉඩමක්‌
Calif	පළකළේ
Adjutant	මේජර්
thwart	උපක්‍රමශීලී
vir	මනුෂ
behold	ස්වාමිනි
executable	ගොනුවක්
Trimble	ඇඩම්ස්
nicely	ලස්සනට
Jeb	දාන්නද
Mahindra	මරුටි
LIBERATION	විමුක්‌ති
infestation	බෝවීම
decayed	දිරාපත්
Mandel	අමරසිරි
stupa	ස්තූපය
marist	සහිරා
CENTURY	ක්‍රිස්‌තු
stoned	යනෙන
securely	සුරක්ෂිතව
LEFT	මොකක්‌ද
Tamils	දෙමළ ජාතිකයන්
fastened	පටියකින්
tobruk	පුදුමාතලන්
revolvers	පතරොම්
environmentalists	පරිසරවේදීන්
deceived	අවිශ්වාස
GOLDEN	ස්‌වර්ණමය
whistles	නලා
daffy	පැංචා
patronymic	වාසගම
underdeveloped	නොදියුණු
Oasis	සියපත
dignified	ගාම්භීර
cysts	ගැටිති
DX	අදම
complicity	කුමන්ත්‍රණය
Beckwith	ගුණසේකර
Rowling	පොටර්
paragraphs	ඡේද
draped	ඇඳ
smoother	සුමට
sunni	සුන්නි
northumbria	සංඝරාජ
Hajj	හජ්
parvati	විෂ්ණු
oo	ඌණ
suspending	අත්හිටුවීම
traitors	ද්‍රෝහීන්
transplanted	බද්ධ
elsevier	විදුසර
omen	ශාපයක්
mascots	බිග්
coffins	පෙට්ටියක
propensity	පෙළඹීම
addicts	මත්ද්‍රව්‍යවලට
617	දෙනෙකි
flakes	කැබලි
carrots	තක්කාලි
policymakers	සම්පාදකයන්
Yin	චු
lilac	රෝස
calves	පැටවුන්
jails	සිරගෙවල්
Chesterton	ධර්මපාල
Vick	දුමින්ද
fumes	දුම
clipped	මැදට
fashions	විලාසිතාවන්
SISTER	අක්‌කා
esplanade	ගාලුමුවදොර
Jainism	ජෛන
Tasman	ගාල්ලෙන්
Moreton	කළුතර
goths	පරංගි
negligent	නොසැලකිලිමත්
untrue	අසත්‍ය
ELECTION	මැතිවරණයක්‌
whore	ඒ ගෑනි
isolating	පිළියම
doorways	ජනේල
romain	මාරියෝ
Boleyn	ඇහැළේපොළ
Jock	කාල්ටන්
desolate	පාළු
arduous	දුෂ්කර
heartfelt	හෘදයාංගම
happier	මම සතුටින්
grieving	හඬා
lui	රෝහිත අබේගුණවර්ධන
comforts	සැප
traffickers	ජාවාරම්කරුවන්
squeezed	කාණුවට
disregarded	නොසලකා
Calloway	එච්
precepts	පිළිපැදීම
choreographers	නර්තන ශිල්පීන්
Dupree	ආරි
Marchand	ඬේවිඞ්
plow	උදැල්ල
billiard	ටේබල්
elicit	ඇතිකරවන
capacitors	සන්නායක
idealistic	පරමාදර්ශී
stoves	උදුන්
En	for
Sylvan	නඳුන්
briefing	ලිපියක්
swapping	මාරුවෙන
disgusting	පිළිකුල්
orson	ගෙදර’
ecologically	විවිධත්වයෙන්
solubility	සාන්ද්‍රණය
bleachers	ක්‍රීඩාගාරය
NCC	දිනසේන
nightingale	සැළලිහිණි
prog	හෙ
unfolds	දිගහැරෙන
intonation	ස්වර
scathing	නිර්දය
lunatic	පිස්සන්
buckets	බාල්දි
Laurens	කළුපහන
mano	මාරපන
Katarina	මධුවන්ති
jk	ඇමතිගේ
abnormally	අසාමාන්‍ය
hospitalization	ප්‍රතිකාර
egalitarian	සමාජයක්
generously	නොමසුරුව
previewed	එළිදක්වන
freeways	මංතීරු
banknote	නෝට්ටුව
motorbike	බයිසිකලයක්
sequentially	අනුපිළිවෙල
CAMPUS	ගොඩනැඟිල්ලක්‌
Warden	ජේලර්
fondly	අදත් අපේ
joystick	ස්ටාර්ට්
tacitus	මහාවංශ
Excalibur	රාවනා
soybeans	සෝයා
jogging	ව්‍යායාම
condoms	කොන්ඩම්
beset	වියවුල්
jungles	වනගත
resurrect	ගොඩගන්න
hajduk	බොස්කෝ
devoting	කළ කැප කිරීම
uncompromising	ප්‍රතිපත්තිගරුක
oedipus	ජැක්සන්
tightened	ලිහිල්
versed	හසළ
relativistic	අංශුවල
strikingly	පෙනුමෙන්
tenancy	සින්නක්කර
juices	යුෂ
Lynette	චමිලා
leaflet	පත‍්‍රයක්
bullion	රත්‍රං
chunks	කෑලි කෑලි
Glenda	ස්වර්ණා
platelet	රුධිර පට්ටිකා
Cub	පන්තියෙන්
LEADER	නායකයෙක්‌
thorium	මූලද්‍රව්‍ය
liberalization	මැදිහත්වීම්
hollyoaks	රෝමියෝ
Dior	හමීඩියා
lanark	කොලොන්න
fists	පොලු
amis	ගෙවිඳු
Brigid	කන්‍යාරාමයේ
Photographer	ඡායාරූප ශිල්පී
Bullard	ජයවර්ධන
Elmwood	මිරිස්වත්ත
comin	අපි යමු
haryana	ගුජරාට්
scoreline	උත්සාහක
anus	මුඛය
millimetres	සෙන්ටිමීටර
saucer	පීරිසි
touchscreen	උපාංගයේ
hara	ලෙසටයි
PER	ගාස්‌තුව
profanity	කුණුහරුප
Dar	සලාම්
detractors	විවේචකයන්
affidavit	පැමිණිල්ල
sanfl	මුවර්ස්
UNDERGRADUATE	පාඨමාලාවක්‌
Notebook	රීඩර්
Earp	හුඩ්
Vivaldi	More
pylons	කුලුනු
vapour	වාතයේ
Fairgrounds	ක්‍රීඩාංගනයේදී
ascends	පාමුලට
kidnappers	කොල්ලකරුවන්
coll	අනුරගේ
Helm	ගුණවර්ධනගේ
malevolent	අමනුෂ්‍ය
shunned	අවමානයට
cottonwood	තලාව
woodville	යටවත්ත
disabling	ක්‍රියාවිරහිත
macroeconomic	සාර්ව ආර්ථික
neatly	පිළිවෙළකට
sinful	පව්කාර
huntingdonshire	උහන
Blige	මෙමා
vigor	වැඩෙමින්
intermodal	ප්‍රවාහනයේ
triumphed	පරදවා
crumbling	ගරා
impatient	තරහින්
foresight	දුරදක්නා
censure	දෝෂාභියෝගයට
Lovato	ස්ටාර්’
landlady	පැමිණිලිකාරිය
custard	ජෑම්
Loring	ගාල්ලගේ
1386	ඉංග්‍රීසීන්ට
inanimate	ඇලීම
sy	හැරෙනු
Cornerstone	මුල්ගල
jab	තියෙනවා”
dedicating	වෙනුවෙන්
hopi	සොකරි
audits	විගණකාධිපතිවරයා
uncharted	ඉමක්
wrists	බෙල්ලට
videogame	මේ ගේම්
gypsies	රොඩී
shoreham	මඩකලපුව
dishonest	වංචනික
SUPPORT	සහයෝගයක්‌
bagpipes	බෙර
Forsythe	කුරුප්පු
milne	පෑවේය
Companion	පින්සිද්ද
Gynecology	විශේෂඥ ශල්‍ය වෛද්‍ය
capitalists	ධනපතියන්
buttocks	කලවා
amon	මැනවැයි
COMMISSION	මණ්‌ඩලය
Khartoum	යේමනයේ
karthik	ආක්ෂේ
machining	වෙල්ඩින්
unwillingness	නොහැකියාව
sucked	ඇතුලට
beatings	පහරදීම්
levers	කරකවන
radioactivity	විකිරණශීලී
disruptions	බිඳවැටීම්
nez	පරයා
outta	ඉමු
serjeant	ගොපල්ලව
popularizing	ප්‍රචලිත
Annabelle	සිරියාවතී
Philly	බැලින්නම්
betterment	සුබසිද්ධිය
leftover	ඉතිරිවන
allergies	අසාත්මිකතා
attractiveness	ආකර්ෂණය
Mixer	තැන්කියු
deeded	පවරාගෙන
Rinehart	නිමල් සිරිපාල ද
sarah	ද ඇය කීවාය
Correspondent	සන්ඩේ
maoist	මාඕවාදී
morph	සමනලයා
Parkin	පද්මකුමාර
cleanliness	පිරිසිදුකම
fiasco	සිද්දියෙන්
yum	ලු
descendent	පරපුරෙන්
tireless	අනුපමේය
HOSPITAL	රෝහලක්‌
dependents	පවුල්වල
gloomy	මූසල
theosophical	හේතුවාදී
ranji	මුම්බායි ඉන්දියන්ස්
attributing	පැවසීම නිසා
whipping	මැරීමේ
apocryphal	ජනප්‍රවාදයේ
riddles	තේරවිලි
Electricity	විදුලිබල
goggles	කන්නාඩි
sinhalese	වංග
joyous	ප්‍රීතිමත්
misunderstandings	නොගැලපීම්
quilt	පැදුර
walrus	වලස්
kittens	පැටව්
passaic	කොත්මලේ
Palais	ජේතවන
Sudanese	සුඩාන
demography	ජනගහන
awaits	යලිදු
fiend	මාරයෝ
bridle	දම්වැල්
physiotherapy	චිකිත්සක
flung	සිසාරා
nurtured	පෝෂණය
Cady	ජූලියා
concealing	සැඟවීමට
messy	කිලිටි
Arcy	පුෂ්පකුමාර මහතා
urgently	කඩිනමින්
appointees	ලේකම්වරුන්
thighs	උරහිස්
shutters	ජනෙල්
recreating	ප්‍රතිනිර්මාණය
strides	අප ඉදිරියට
indulgence	විඳීම
solstice	උදාව
BRIDGE	හරස්‌
seductive	සරාගී
trustworthy	විශ්වාසවන්ත
piled	ගොඩගසා
flyover	අධිවේගය
Pilkington	ස්ටුවර්ට්
Wagga	දෙහිඅත්තකණ්ඩිය
underestimated	අවතක්සේරු
Kiss	ලෝවනය​
partridge	ගිරා
syntaxhighlight	විශේෂවිශේෂාංගසයිබර්
harvests	අස්වැන්න
Sachin	තෙන්ඩුල්කාර්
Annandale	යටිනුවර
Chaudoir	උපරිමෆිල්ටරයන්
Unilever	යුනිලීවර්
intestines	බඩවැල්
dissertations	නිබන්ධන
Wilberforce	පොන්නම්බලම්
giancarlo	හේෂාන්
thrills	ත්‍රාසය
ISLAMIC	ඉස්‌ලාමීය
darkened	අඳුරු
savvy	දක්ශ
Sunbury	යටියන්තොට
unskilled	නුපුහුණු
satin	දුහුල්
turbonilla	ස්ථවිරාවදානය
impulsive	ආවේගශීලී
danse	සන්නිය
nostrils	නාස්
tok	”’
875	192
westbury	කුලියාපිටිය
Buddy	ගමන්මයි
Brownlow	උදය ගම්මන්පිල මහතා
apprehend	කොටුකර
Benefit	දීර්ඝායු
creatively	නිර්මාණශීලීව
eurozone	මහබැංකුව
luminaries	දැවැන්තයන්
sheeting	ලෑලි
BOARD	කමිටුවක්‌
Antiquarian	මැන්දිස්
Meeker	අමරදාස
Affleck	කේට්
renunciation	පැවිද්ද
subconscious	මනසේ
Cay	අහංගම
PRESS	ලිපියක්‌
9001	ප්‍රමිති සහතිකය
prospecting	ගැරීම
tabled	විශ්වාසභංග
mp3	එක ඩවුන්ලෝඩ්
partying	තනිකඩ
rhizomes	ශාකයට
betraying	පළිගැනීමට
Broadbent	ටෝනි
scion	පුරුකක්
BJ	වැදුනේ
converging	දිශාවකට
barker	ගෝනවල
maryborough	පුත්තලම
injustices	අසාධාරණයන්
Madigan	ක්‍රොස්
neared	ආසන්නයට
lowestoft	මිරිස්ස
sturt	කොටිකාවත්ත
insightful	සාරගර්භ
Gator	මහත්තයටත්
towel	තුවාය
thirsty	නිවාගන්න
lice	හොරි
Cyndi	නගේ
P2	නෙගටිව්
complexion	පැහැපත්
raged	ඇවිලී
Humane	මනුසත්
Mingus	එඩ්වඩ්
auld	ඔසී
extramarital	විවාහක
proportionally	සමානුපාතිකව
cistern	ළිඳ
silicate	පාෂාණ
cheapest	ලාබෙට
meditative	භාවනාවක්
zz	හැටිද
shopkeeper	මුදලාලි
timbre	ස්වරය
arcy	කනක
completeness	සාධනය
farmhouses	අම්බලම්
sauna	ස්පා
intermediaries	අතරමැදියන්
dries	බිදු
anvil	රෝල
PRODUCTION	නිෂ්පාදනයක්‌
Bibliography	නාමාවලිය
sagas	පූජාවලිය
menacing	රෞද්‍ර
ove	එමිල්
Shukla	රාහුල්
hin	පේමසිරි
Bruton	ඇලෝසියස්
accumulates	දියවෙලා
suffragette	අගමැතිනිය
haircut	කොණ්ඩෙ
1337	1815
supermodel	නිරූපිකාවක්
cannibal	ඩ්‍රැකියුලා
Uber	ජොබ්ස්
fortran	ක්‍රමලේඛන
Solicitor	නීතිඥ
lefty	උන්නේ
trumps	තුරුම්පු
bitumen	තාර
chastity	ශීලය
Roseville	මහරගම
Riddell	විජයවර්ධන
Showdown	පොර
Aloha	ආයුබෝවන්
lytton	බාලසිංහම්
rel	යුතුයයි
merced	හසලක
grasping	පාදයෙන්
WITHIN	කාලයක්‌
abstained	පක්‍ෂව
drugged	අසිහියෙන්
Bettina	තුෂාරි
Gatorade	මයිලෝ
Renegades	කොටුවෙ
stratum	ස්ථරය
munnetra	ද්‍රවිඩ මුන්නේත්‍ර කසාගම්
Wellman	බෲස්
Braintree	වීරකැටිය
Ayurveda	ආයුර්වේදය
Valdés	මිගෙල්
humorously	කතාවක් මේ
intermission	නාට්ටිය
refraction	පරාවර්තනය
doubleheader	පිට්ටනියේ
ambivalent	ආකල්පයක්
walton	මහනාම
Hailey	දේවා
hamilton	වර්ධරාජා
forecourt	නැවතුම්පළ
Ormond	සොයිසා
snippets	පෝස්ටු
certiorari	අභියාචනාධිකරණය
nuanced	සිත්ගන්නා
Marín	බණ්ඩාරනායක
Barnet	කොළඹ දිසා
tucked	එල්ලෙමින්
ankles	කකුල්
fairgrounds	ක්‍රීඩාංගනය
